1,2,2,2,2
2,2,2,2,2
3,2,2,2,2
4,2,2,2,2
5,2,2,2,2
6,2,2,2,2
7,3,2,2,2
8,3,2,2,2
9,3,2,2,2
10,3,2,2,2
11,3,2,2,2
12,3,2,2,2
13,3,2,2,2
14,3,2,2,2
15,3,2,2,2
16,3,2,2,2
17,3,2,2,2
18,3,2,2,2
19,4,2,2,2
20,4,2,2,2
21,4,2,2,2
22,4,2,2,2
23,4,2,2,2
24,4,2,2,2
25,4,2,2,2
26,4,2,2,2
27,4,2,2,2
28,4,2,2,2
29,4,2,2,3
30,4,2,2,3
31,4,2,2,3
32,4,2,2,3
33,5,2,2,3
34,5,2,2,3
35,5,2,2,3
36,5,2,2,3
37,5,2,2,3
38,5,2,2,3
39,5,2,2,3
40,5,2,2,3
41,6,2,2,3
42,6,2,2,3
43,7,2,2,3
44,8,2,2,3
45,8,2,2,3
46,8,2,2,3
47,8,2,2,3
48,8,2,2,3
49,9,2,2,3
50,9,2,2,3
51,9,2,2,3
52,9,2,2,3
53,9,2,2,3
54,9,2,2,3
55,9,2,2,3
56,10,2,2,3
57,10,2,2,3
58,10,2,2,3
59,10,2,2,3
60,10,2,2,3
61,10,2,2,3
62,10,2,2,3
63,10,2,2,3
64,10,2,2,3
65,10,2,2,3
66,10,2,2,3
67,10,2,2,3
68,10,2,2,3
69,10,2,2,3
70,10,2,2,3
71,10,2,2,3
72,10,2,2,3
73,10,2,2,3
74,10,2,2,3
75,10,2,2,3
76,10,2,2,3
77,10,2,2,3
78,11,2,2,3
79,11,2,2,3
80,11,2,2,3
81,11,2,2,3
82,11,2,2,3
83,11,2,2,3
84,12,2,2,3
85,12,2,2,3
86,13,2,2,3
87,14,2,2,3
88,14,2,2,3
89,14,2,2,3
90,14,2,2,3
91,14,2,2,3
92,14,2,2,3
93,14,2,2,3
94,15,2,2,3
95,15,2,2,3
96,16,2,2,3
97,16,2,2,3
98,17,2,2,3
99,17,2,2,3
100,17,2,2,3
